ts	total_used_MiB	s1_MiB	s2_MiB	s3_MiB
13:56:36	6565	0	0	4442
13:57:36	7613	0	0	5490
13:58:36	5737	0	0	3614
13:59:37	5791	0	0	3668
14:00:37	4425	0	0	2302
14:01:37	7815	0	0	5692
14:02:38	7815	0	0	5692
14:03:39	7815	0	0	5692
14:04:39	4425	0	0	2302
14:05:40	4563	0	0	2440
14:06:40	6927	0	0	4804
14:07:45	6927	0	0	4804
14:08:45	6923	0	0	4800
14:09:45	6923	0	0	4800
14:10:46	5931	0	0	3808
14:11:46	4425	0	0	2302
14:12:46	8247	0	0	6124
14:13:47	8357	0	0	6202
14:14:47	8325	0	0	6202
14:15:47	8325	0	0	6202
14:16:48	4425	0	0	2302
14:17:49	7153	0	0	5030
14:18:49	7153	0	0	5030
14:19:50	7153	0	0	5030
14:20:51	4425	0	0	2302
14:21:51	8443	0	0	6320
14:22:51	7171	0	0	5048
14:23:51	7253	0	0	5130
14:24:52	7251	0	0	5128
14:25:52	4425	0	0	2302
14:26:53	7337	0	0	5214
14:27:53	7337	0	0	5214
14:28:54	4425	0	0	2302
14:29:54	7341	0	0	5218
14:30:55	7341	0	0	5218
14:31:55	7341	0	0	5218
14:32:56	4425	0	0	2302
14:33:56	8587	0	0	6464
14:34:56	8589	0	0	6466
14:35:56	7423	0	0	5300
14:36:57	4425	0	0	2302
14:37:57	6191	0	0	4068
14:38:57	7383	0	0	5260
14:39:58	7453	0	0	5330
14:41:00	4425	0	0	2302
14:42:01	4425	0	0	2302
14:43:01	7397	0	0	5274
14:44:02	7397	0	0	5274
14:45:03	4425	0	0	2302
14:46:03	4425	0	0	2302
14:47:04	7455	0	0	5332
14:48:04	4425	0	0	2302
14:49:04	7459	0	0	5336
14:50:04	7501	0	0	5378
14:51:04	7501	0	0	5378
14:52:04	6229	0	0	4106
14:53:05	6229	0	0	4106
14:54:06	4425	0	0	2302
14:55:06	7539	0	0	5416
14:56:07	7543	0	0	5420
14:57:07	7543	0	0	5420
14:58:08	4573	0	0	2462
14:59:08	7547	0	0	5424
15:00:08	7547	0	0	5424
15:01:08	6267	0	0	4144
15:02:08	4425	0	0	2302
15:03:09	7561	0	0	5438
15:04:09	6211	0	0	4088
15:05:09	6269	0	0	4146
15:06:10	6269	0	0	4146
15:07:10	6211	0	0	4088
15:08:11	6307	0	0	4152
15:09:11	6279	0	0	4156
15:10:12	4425	0	0	2302
15:11:12	8811	0	0	6688
15:12:13	8811	0	0	6688
15:13:13	8811	0	0	6688
15:14:13	7569	0	0	5414
15:15:14	4425	0	0	2302
15:16:14	8727	0	0	6604
15:17:14	8809	0	0	6686
15:18:14	8809	0	0	6686
15:19:14	4633	0	0	2510
15:20:15	6265	0	0	4142
15:21:15	6265	0	0	4142
15:22:16	4425	0	0	2302
15:23:16	4685	0	0	2538
15:24:16	6235	0	0	4112
15:25:17	6235	0	0	4112
15:26:18	4425	0	0	2302
15:27:18	4425	0	0	2302
15:28:18	8821	0	0	6698
15:29:18	7531	0	0	5408
15:30:19	7533	0	0	5410
15:31:19	6335	0	0	4180
15:32:19	4425	0	0	2302
15:33:19	7641	0	0	5518
15:34:20	7641	0	0	5518
15:35:21	4425	0	0	2302
15:36:21	7561	0	0	5438
15:37:22	7561	0	0	5438
15:38:26	7561	0	0	5438
15:39:26	4457	0	0	2302
15:40:27	7597	0	0	5474
15:41:27	7597	0	0	5474
15:42:28	4425	0	0	2302
15:43:28	8833	0	0	6710
15:44:28	8849	0	0	6726
15:45:28	8851	0	0	6728
15:46:28	6265	0	0	4142
15:47:29	6265	0	0	4142
15:48:30	4425	0	0	2302
15:49:30	8837	0	0	6714
15:50:31	8837	0	0	6714
15:51:31	8869	0	0	6714
15:52:32	4425	0	0	2302
15:53:32	6295	0	0	4172
15:54:33	6295	0	0	4172
15:55:34	6295	0	0	4172
15:56:34	4425	0	0	2302
15:57:35	8855	0	0	6732
15:58:35	4601	0	0	2488
15:59:35	6329	0	0	4174
16:00:35	10069	0	0	7946
16:01:35	10069	0	0	7946
16:02:36	7533	0	0	5410
16:03:36	7533	0	0	5410
16:04:36	7533	0	0	5410
16:05:37	7629	0	0	5506
16:06:37	7631	0	0	5508
16:07:38	7631	0	0	5508
16:08:38	4425	0	0	2302
16:09:38	7557	0	0	5434
16:10:39	7557	0	0	5434
16:11:39	8843	0	0	6720
16:12:39	8875	0	0	6720
16:13:39	7551	0	0	5428
16:14:39	4425	0	0	2302
16:15:40	7587	0	0	5464
16:16:40	4425	0	0	2302
16:17:41	4425	0	0	2302
16:18:42	8807	0	0	6684
16:19:42	8809	0	0	6686
16:20:43	4425	0	0	2302
16:21:43	6285	0	0	4162
16:22:44	6287	0	0	4164
16:23:48	4457	0	0	2302
16:24:49	4425	0	0	2302
16:25:49	7563	0	0	5440
16:26:49	7565	0	0	5442
16:27:50	6329	0	0	4206
16:28:50	4425	0	0	2302
16:29:50	7631	0	0	5508
16:30:50	7573	0	0	5450
16:31:51	7575	0	0	5452
16:32:51	7575	0	0	5452
16:33:52	4425	0	0	2302
16:34:52	10211	0	0	8088
16:35:53	10213	0	0	8090
16:36:55	4425	0	0	2302
16:37:56	4425	0	0	2302
16:38:56	8845	0	0	6722
16:39:57	8845	0	0	6722
16:40:57	7537	0	0	5414
16:41:57	7537	0	0	5414
16:42:57	7567	0	0	5444
16:43:57	4425	0	0	2302
16:44:57	7595	0	0	5472
16:45:58	7595	0	0	5472
16:46:59	4425	0	0	2302
16:47:59	7611	0	0	5488
16:48:59	7613	0	0	5490
16:50:01	7615	0	0	5492
16:51:02	6253	0	0	4130
16:52:02	6255	0	0	4132
16:53:02	6255	0	0	4132
16:54:03	4425	0	0	2302
16:55:03	7615	0	0	5492
16:56:03	4425	0	0	2302
16:57:04	7555	0	0	5432
16:58:04	8815	0	0	6660
16:59:04	8835	0	0	6712
17:00:04	8971	0	0	6816
17:01:05	8939	0	0	6816
17:02:10	8939	0	0	6816
17:03:10	7611	0	0	5456
17:04:11	7579	0	0	5456
17:05:11	7579	0	0	5456
17:06:12	4425	0	0	2302
17:07:13	7609	0	0	5486
17:08:13	7609	0	0	5486
17:09:14	7609	0	0	5486
17:10:14	7627	0	0	5504
17:11:15	7627	0	0	5504
17:12:15	7627	0	0	5504
17:13:15	10185	0	0	8030
17:14:15	4425	0	0	2302
17:15:15	7597	0	0	5474
17:16:15	6249	0	0	4126
17:17:16	4425	0	0	2302
17:18:17	8791	0	0	6668
17:19:17	8793	0	0	6670
17:20:18	8793	0	0	6670
17:21:19	4425	0	0	2302
17:22:19	6263	0	0	4140
17:23:20	6263	0	0	4140
17:24:21	4457	0	0	2302
17:25:21	4425	0	0	2302
17:26:22	7495	0	0	5372
17:27:22	7495	0	0	5372
17:28:22	6283	0	0	4160
17:29:22	4425	0	0	2302
17:30:22	7491	0	0	5368
17:31:22	7517	0	0	5394
17:32:23	7517	0	0	5394
17:33:28	4425	0	0	2302
17:34:28	7515	0	0	5392
17:35:29	7515	0	0	5392
17:36:29	7515	0	0	5392
17:37:29	4425	0	0	2302
17:38:30	7589	0	0	5466
17:39:30	7589	0	0	5466
17:40:35	4425	0	0	2302
17:41:36	4425	0	0	2302
17:42:36	6237	0	0	4114
17:43:36	6219	0	0	4144
17:44:37	6267	0	0	4144
17:45:37	7479	0	0	5356
17:46:37	4425	0	0	2302
17:47:37	7517	0	0	5394
17:48:38	7517	0	0	5394
17:49:38	4425	0	0	2302
17:50:38	7519	0	0	5396
17:51:39	7519	0	0	5396
17:52:40	7519	0	0	5396
17:53:40	4425	0	0	2302
17:54:40	8825	0	0	6702
17:55:41	8825	0	0	6702
17:56:41	4425	0	0	2302
17:57:42	10061	0	0	7938
17:58:42	10061	0	0	7938
