ts,cfg,epoch,bodies_mean,n_bodies,peak_mib,total_peak_mib
1788532469,rtg_e31_s3,59,13.15,12,5046,12368
1788532597,rtg_e31_s2,58,15.45,16,5718,12106
1788532597,rtg_e31_s3,59,13.15,12,6084,12106
1788532723,rtg_e31_s2,58,15.45,16,5628,12106
1788532723,rtg_e31_s3,60,12.95,12,6084,12106
1788532849,rtg_e31_s2,59,15.7,16,4354,9700
1788532849,rtg_e31_s3,61,12.9,12,4950,9700
1788532975,rtg_e31_s2,60,16.4,16,4372,9710
1788532975,rtg_e31_s3,62,12.8,12,4960,9710
1788533101,rtg_e31_s2,60,16.4,16,5408,8740
1788533101,rtg_e31_s3,63,12.95,12,3972,8740
1788533228,rtg_e31_s2,61,15.6,16,6740,11086
1788533228,rtg_e31_s3,64,12.9,12,3950,11086
1788533355,rtg_e31_s2,62,15.5,16,5628,9004
1788533355,rtg_e31_s3,65,12.4,12,5942,9004
1788533481,rtg_e31_s2,63,15.95,16,4490,10828
1788533481,rtg_e31_s3,65,12.4,12,5942,10828
1788533610,rtg_e31_s2,64,16.0,16,8020,14298
1788533610,rtg_e31_s3,67,12.5,12,5882,14298
1788533737,rtg_e31_s2,64,16.0,16,8020,14298
1788533737,rtg_e31_s3,67,12.5,12,5882,14298
1788533865,rtg_e31_s2,65,15.0,16,6720,9794
1788533865,rtg_e31_s3,68,12.55,12,5832,9794
1788533992,rtg_e31_s2,65,15.0,16,6720,12960
1788533992,rtg_e31_s3,69,12.55,12,5844,12960
1788534119,rtg_e31_s2,66,15.25,15,5584,10906
1788534119,rtg_e31_s3,70,12.1,12,4926,10906
1788534245,rtg_e31_s2,68,15.4,15,5442,9756
1788534245,rtg_e31_s3,71,12.2,12,3918,9756
1788534371,rtg_e31_s2,68,15.4,15,4366,8680
1788534371,rtg_e31_s3,72,12.5,12,3918,8680
1788534499,rtg_e31_s2,69,15.2,15,4190,10414
1788534499,rtg_e31_s3,73,12.15,11,5828,10414
1788534629,rtg_e31_s2,70,15.7,15,4190,10414
1788534629,rtg_e31_s3,74,12.0,12,5828,10414
1788534754,rtg_e31_s2,70,15.7,15,5544,10858
1788534754,rtg_e31_s3,74,12.0,12,4918,10858
1788534882,rtg_e31_s2,71,15.2,16,5544,8618
1788534882,rtg_e31_s3,75,12.25,12,4858,8618
1788535009,rtg_e31_s2,71,15.2,16,5390,10666
1788535009,rtg_e31_s3,76,11.9,12,4880,10666
1788535137,rtg_e31_s2,72,15.45,16,6794,9868
1788535137,rtg_e31_s3,77,12.3,12,4880,9868
1788535263,rtg_e31_s2,73,15.65,16,5450,12572
1788535263,rtg_e31_s3,77,12.3,12,6774,12572
1788535390,rtg_e31_s2,74,15.35,16,5560,9756
1788535390,rtg_e31_s3,78,12.25,12,6774,9756
1788535516,rtg_e31_s2,75,15.4,16,5576,10786
1788535516,rtg_e31_s3,79,12.25,12,4830,10786
1788535643,rtg_e31_s2,76,15.25,16,6836,9910
1788535643,rtg_e31_s3,80,12.2,12,3896,9910
1788535769,rtg_e31_s2,76,15.25,16,6836,13058
1788535769,rtg_e31_s3,81,11.85,12,5826,13058
1788535895,rtg_e31_s2,77,15.45,14,6604,9768
1788535895,rtg_e31_s3,82,12.0,12,6710,9768
1788536023,rtg_e31_s2,77,15.45,14,6604,9914
1788536023,rtg_e31_s3,83,12.4,12,3908,9914
1788536151,rtg_e31_s2,78,15.45,14,5610,12540
1788536151,rtg_e31_s3,84,12.05,12,6762,12540
1788536279,rtg_e31_s2,79,14.75,16,5446,12604
1788536279,rtg_e31_s3,85,11.8,12,6762,12604
1788536406,rtg_e31_s2,81,15.6,16,5566,9832
1788536406,rtg_e31_s3,86,12.1,12,3870,9832
1788536534,rtg_e31_s2,81,15.6,16,6652,12796
1788536534,rtg_e31_s3,87,12.15,12,5748,12796
1788536664,rtg_e31_s2,82,15.35,14,7982,12796
1788536664,rtg_e31_s3,88,11.9,12,5748,12796
1788536790,rtg_e31_s2,83,15.65,14,7982,12262
1788536790,rtg_e31_s3,88,11.9,12,3884,12262
1788536918,rtg_e31_s2,83,15.65,14,5450,9738
1788536918,rtg_e31_s3,89,12.15,12,3892,9738
1788537045,rtg_e31_s2,83,15.65,14,5450,9738
1788537045,rtg_e31_s3,90,11.85,12,6654,9738
1788537171,rtg_e31_s2,84,15.35,14,4348,11444
1788537171,rtg_e31_s3,91,12.15,12,6700,11444
1788537298,rtg_e31_s2,85,15.1,14,5392,10564
1788537298,rtg_e31_s3,92,11.95,11,4776,10564
1788537424,rtg_e31_s2,86,15.15,16,5576,10760
1788537424,rtg_e31_s3,93,11.9,12,4788,10760
1788537550,rtg_e31_s2,87,15.6,14,5460,10644
1788537550,rtg_e31_s3,94,11.7,11,4792,10644
1788537677,rtg_e31_s2,88,15.95,16,6850,12038
1788537677,rtg_e31_s3,94,11.7,11,4792,12038
1788537803,rtg_e31_s2,89,16.1,16,5596,9856
