epoch,alpha,control_log_std,attr_log_std,n_bodies,n_motors,mass,limb_len_mean,gear_mean,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,r_fall_return,r_fwd_return
10,0.9961599999901696,-0.09713995004348742,-2.2950256476942665,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
11,0.9957759999891865,-0.10548233082966532,-2.294471262771087,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
12,0.9953919999882035,-0.11460473476729888,-2.2940853322674317,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
13,0.9950079999872204,-0.12184514647347938,-2.2933413304078116,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
14,0.9946239999862374,-0.1293130149291583,-2.2932697864655043,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,0.8,0.0,0.3301520898673488,-12.762260706954507,0.9760975738488376,-0.249102488394498
15,0.9942399999852544,-0.13942563587988685,-2.2926781673925185,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
16,0.9938559999842713,-0.14835953378646685,-2.293089308537894,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
17,0.9934719999832883,-0.15600805273825458,-2.2943534620812573,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
18,0.9930879999823052,-0.16397788189041687,-2.293566472118298,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
19,0.9927039999813222,-0.17378175274503335,-2.2950771156363503,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,1.0,0.0,0.3357137866580814,60.32320631508988,0.9734417197016378,-0.2166232089350902
20,0.9923199999803392,-0.1820932628616237,-2.296636871318905,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
21,0.9919359999793561,-0.19091303619402084,-2.2969501597950033,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
22,0.9915519999783731,-0.1996585695172534,-2.2971487633852425,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
23,0.9911679999773901,-0.2089981972425303,-2.2967508848035525,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
24,0.9907839999764071,-0.2188404743143678,-2.297264862878289,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,1.0,0.0,0.43289401089282525,75.36711275542707,0.9725851963931624,-0.13649941552132516
25,0.990399999975424,-0.22910980391821534,-2.29892378865812,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
26,0.990015999974441,-0.23929769479213778,-2.297265317731062,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
