ts,cfg,pid,mib,total_mib,bodies_mean,motors_mean,epoch
1788652817,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652817,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652822,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652822,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652827,rtg_e4r_s1,694927,6362,11550,18.7,9.05,11
1788652827,rtg_e4r_s2,695070,4792,11550,19.25,9.45,11
1788652832,rtg_e4r_s1,694927,6362,9604,18.7,9.05,11
1788652832,rtg_e4r_s2,695070,2846,9604,19.25,9.45,11
1788652837,rtg_e4r_s1,694927,6362,9604,18.7,9.05,11
1788652838,rtg_e4r_s2,695070,2846,9604,19.85,9.55,12
1788652843,rtg_e4r_s1,694927,6362,9604,18.7,9.05,11
1788652843,rtg_e4r_s2,695070,2846,9604,19.85,9.55,12
1788652848,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652848,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652854,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652854,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652859,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652859,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652864,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652864,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652870,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652870,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652875,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652875,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652881,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652881,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652886,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652886,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652891,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652891,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652897,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788652897,rtg_e4r_s2,695070,2846,6040,19.85,9.55,12
1788652902,rtg_e4r_s1,694927,2798,6312,19.45,9.25,12
1788652902,rtg_e4r_s2,695070,3118,6312,19.85,9.55,12
1788652907,rtg_e4r_s1,694927,2798,11078,19.45,9.25,12
1788652907,rtg_e4r_s2,695070,7884,11078,19.85,9.55,12
1788652912,rtg_e4r_s1,694927,2858,11134,19.45,9.25,12
1788652912,rtg_e4r_s2,695070,7884,11134,19.85,9.55,12
1788652917,rtg_e4r_s1,694927,7842,16122,19.45,9.25,12
1788652918,rtg_e4r_s2,695070,7884,16122,19.85,9.55,12
1788652923,rtg_e4r_s1,694927,7916,16196,19.45,9.25,12
1788652923,rtg_e4r_s2,695070,7884,16196,19.85,9.55,12
1788652928,rtg_e4r_s1,694927,7916,16196,19.45,9.25,12
1788652928,rtg_e4r_s2,695070,7884,16196,19.85,9.55,12
1788652933,rtg_e4r_s1,694927,7916,16196,19.45,9.25,12
1788652933,rtg_e4r_s2,695070,7884,16196,19.85,9.55,12
1788652938,rtg_e4r_s1,694927,7916,16196,19.45,9.25,12
1788652938,rtg_e4r_s2,695070,7884,16196,19.85,9.55,12
1788652943,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652943,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652948,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652948,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652954,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652954,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652959,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652959,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652964,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652964,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
1788652969,rtg_e4r_s1,694927,7916,16198,19.45,9.25,12
1788652969,rtg_e4r_s2,695070,7886,16198,19.85,9.55,12
